Duration,OriginalPace,HeartRate,Cadence,PowerCalculated,CumDuration,Distance,Pace,,CumSpeed
3552,,152,103,320,,10,249,,10.793
4,455,111,85,205,4,0.010,393,,9.2
10,456,113,86,217,14,0.035,406,,9.0
9,431,115,87,225,23,0.057,401,,9.0
5,431,118,90,227,28,0.070,378,,9.1
9,422,119,89,230,37,0.094,390,,9.1
7,418,122,89,241,44,0.112,377,,9.2
1,421,119,89,242,45,0.115,378,,9.2
8,375,120,90,244,53,0.138,350,,9.3
9,423,122,88,245,62,0.162,372,,9.4
9,414,120,90,241,71,0.186,377,,9.4
2,416,123,89,240,73,0.191,375,,9.4
8,443,126,86,242,81,0.211,396,,9.4
8,406,128,86,250,89,0.234,355,,9.5
6,374,125,90,250,95,0.251,357,,9.5
8,375,126,89,256,103,0.274,341,,9.6
6,434,123,87,251,109,0.290,370,,9.6
2,424,126,87,239,111,0.295,381,,9.6
4,459,130,87,233,115,0.306,390,,9.6
10,433,128,85,235,125,0.330,406,,9.5
9,384,130,86,243,134,0.355,371,,9.5
4,384,133,86,246,138,0.366,342,,9.6
6,378,130,89,256,144,0.384,333,,9.6
9,400,129,88,263,153,0.409,365,,9.6
1,386,132,89,264,154,0.412,344,,9.6
8,378,130,88,264,162,0.435,344,,9.7
4,370,133,91,273,166,0.447,337,,9.7
4,359,136,91,274,170,0.459,325,,9.7
1,364,139,91,282,171,0.462,326,,9.7
2,368,135,91,285,173,0.469,330,,9.7
8,363,137,91,285,181,0.493,325,,9.8
8,364,138,90,288,189,0.518,324,,9.9
8,365,137,90,289,197,0.542,325,,9.9
7,343,138,95,291,204,0.565,311,,10.0
3,354,135,92,291,207,0.574,314,,10.0
2,359,139,92,285,209,0.581,320,,10.0
8,360,142,91,273,217,0.605,323,,10.0
8,387,141,88,264,225,0.629,346,,10.1
4,427,138,89,261,229,0.639,381,,10.0
4,428,134,89,246,233,0.650,379,,10.0
2,431,137,87,237,235,0.655,369,,10.0
6,411,134,90,241,241,0.671,378,,10.0
9,428,133,86,245,250,0.695,380,,10.0
8,380,130,88,246,258,0.717,360,,10.0
6,391,133,88,247,264,0.734,356,,10.0
8,407,136,92,251,272,0.756,360,,10.0
8,400,133,88,249,280,0.778,371,,10.0
9,378,135,89,249,289,0.803,357,,10.0
6,423,132,89,251,295,0.818,381,,10.0
8,380,134,90,255,303,0.841,356,,10.0
8,375,135,89,251,311,0.864,348,,10.0
8,430,135,88,255,319,0.887,350,,10.0
9,424,136,89,260,328,0.911,378,,10.0
